,precision,recall,f1-score,support
0,0.78125,0.8620689655172413,0.819672131147541,29.0
1,0.8620689655172413,0.78125,0.819672131147541,32.0
accuracy,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541
macro avg,0.8216594827586207,0.8216594827586207,0.819672131147541,61.0
weighted avg,0.8236468343697003,0.819672131147541,0.819672131147541,61.0
