Algorithm,Accuracy,F1 Score,Precision,Recall
SVM,0.8688524590163934,0.8689229684470298,0.8708619777895293,0.8688524590163934
KNN,0.9180327868852459,0.9180768908471046,0.9186144896879957,0.9180327868852459
Random Forest,0.8688524590163934,0.8684976225959832,0.8700310725383049,0.8688524590163934
